Paragraph_Number,Initiative,Context,Goal,Timeline
3,Light Public Housing (LPH),Address public housing shortage and reduce waiting time,Provide transitional housing for PRH applicants,Three years (2022-2025)
5,Committee on Development of the Northern Metropolis,Accelerate the development of the Northern Metropolis,Formulate operational models for various development areas,Under the guidance of the Chief Executive
5,University Town Development,Part of the Northern Metropolis development,Expedite the development of the University Town,Not specified
5,Streamlined Administrative Procedures,Part of the Northern Metropolis development,Remove barriers and ease restrictions to facilitate development,Not specified
5,"Safe, Efficient, and Cost-Effective Construction Practices",Part of the Northern Metropolis development,"Adopt construction practices that are safe, efficient, and cost-effective",Not specified
5,Dedicated Legislation for Northern Metropolis,Part of the Northern Metropolis development,Introduce dedicated legislation to fast-track development,Not specified
5,Attract and Cultivate Industries,Part of the Northern Metropolis development,Create jobs and enhance productivity,Not specified
5,Preferential Policy Packages,Part of the Northern Metropolis development,Improve efficiency and flexibility in negotiations with enterprises,Not specified
6,Global Expansion Support for Mainland Enterprises,Rapid shift in global trade order and the need for Mainland enterprises to expand into emerging markets,"Reinforce Hong Kong's role as an international centre and leverage its strengths in finance, trading, professional services, supply chain management, and professional networks to create more jobs and higher income",Not specified
6,"Integrated Development of Education, Technology, and Talent",Support the global expansion of Mainland enterprises and enhance Hong Kong's competitive edge,"Develop education, technology, and talent in an integrated manner to unlock more business opportunities",Not specified
6,"Cultural, Sports, and Tourism Integration",Enhance the quality of life and attract more visitors to Hong Kong,"Press ahead with the integrated development of culture, sports, and tourism to create a community with a thriving economy and vibrant culture",Not specified
7,Accountability System for Heads of Department,To strengthen governance,Systematise and institutionalise responsibility for departments and enhance the appraisal system for civil servants,Not specified
7,AI Efficacy Enhancement Team,To drive technological reform,Coordinate and steer government departments in the effective use of AI technology and re-engineering of outdated workflows,Not specified
7,AI+ Development,To promote the development of AI with a focus on safety risk prevention,Implement AI government services and facilitate the wide-scale application and development of AI across different sectors to boost overall efficiency,Not specified
7,Market-Based Business Model for LCSD,To better integrate 'an efficient market' with 'a capable government',Enhance the services of the Leisure and Cultural Services Department (LCSD) through a market-based business model,Not specified
8,Increasing Public Housing Supply,To enrich the housing ladder and address housing needs,Continuously increase the supply of public housing,Not specified
8,Creating Land for Large Development Projects,Promoting long-term economic development and addressing housing needs,Increase government land reserve,Not specified
8,Continuing Healthcare Reform,Improving healthcare services,Continue the process of healthcare reform,Not specified
8,Implementing 11 Measures to Support Local Economy,Strengthening the local economy,Support the local economy through 11 specific measures,Not specified
8,Targeted Poverty Alleviation,Addressing poverty,Continue the work on targeted poverty alleviation,Not specified
8,Promoting Ageing in Place,Supporting elderly care,"Promote the principle of 'ageing in place as the core, with institutional care as back-up'",Not specified
8,Supporting and Protecting Workers,Enhancing labour protection,Support and protect workers,Not specified
8,Establishing Working Group on Ageing Society Strategies,Addressing challenges of an ageing society,Establish a working group to develop strategies for an ageing society,Not specified
18,National Security Education Promotion,To enhance public awareness and understanding of national security,Train district tutors to promote national security messages in the community,Ongoing (since the opening of the National Security Exhibition Gallery a year ago)
21,Steering Committee on District Governance,Part of the reforms to improve district governance,"Strengthen co-ordination to address issues such as environmental hygiene, community beautification, facility development and community services more effectively",Set up in July 2023
21,Task Force on District Governance,Part of the reforms to improve district governance,"Strengthen co-ordination to address issues such as environmental hygiene, community beautification, facility development and community services more effectively",Set up in July 2023
24,Commemorative Activities for the 80th Anniversary,Mark the 80th anniversary of victory in the Chinese People's War of Resistance against Japanese Aggression and in the World Anti-Fascist War,Enhance public understanding of the spirit of unity and resilience displayed by Chinese people in the fight for peace,This year (2023)
24,New Red Educational Route,Collaborate with Shenzhen to promote historical education,Enhance understanding among people of Hong Kong and tourists of the history of the War of Resistance in Hong Kong,Not specified
25,Historic Sites Restoration and Protection,To recognize and preserve the historical significance of sites related to the Communist Party of China's participation in the War of Resistance,Integrate these historic sites into tourism routes and educational activities,Not specified
26,Chinese Culture Festival,Promote and showcase Chinese culture,Curate and organize the Chinese Culture Festival as a signature project,Not specified
26,Exhibitions of the General History of China Series,Promote and showcase Chinese culture,Curate and organize exhibitions of the General History of China series as a signature project,Not specified
26,Museum to Showcase Development and Achievements,Promote and showcase Chinese culture and the development of the country,Establish a museum to highlight the development and achievements of the country,Not specified
26,Chinese Culture Experience Centre,Promote and showcase Chinese culture,Establish a center for experiencing Chinese culture,Not specified
26,Community-Oriented Initiatives,Promote and engage the community in Chinese culture,Launch a broad spectrum of community-oriented initiatives to promote Chinese culture,Not specified
27,Patriotic Education Facilities Promotion,To encourage more students and young people to visit patriotic education facilities in the Mainland,Promote patriotic education and foster a sense of national identity among Hong Kong's youth,Not specified
28,Patriotic Education Activities,To strengthen connections with patriotic groups and promote national unity,Increase the number and quality of patriotic education activities,Not specified
29,Patriotic Education Integration,To enhance students' understanding and appreciation of their country,Integrate patriotic education into daily learning and teaching,Not specified
29,"Love Our Home, Treasure Our Country Series",To foster a sense of national pride and belonging among students,Popularise activities that promote love for the country,Not specified
29,Constitution and Basic Law Student Ambassadors Training Scheme,To strengthen students' knowledge of the Constitution and Basic Law,Continuously enhance the training scheme for student ambassadors,Not specified
29,National History Itineraries,To provide students with firsthand experience of the country's founding history,Design itineraries for students to experience the founding history of the country,Not specified
29,Focus Inspections on National Education,To ensure the effectiveness and quality of national education,Conduct focus inspections on national education,Not specified
29,Professional Development and Activities for Teachers and Students,To align with the updated national security education,Continue to provide professional development and activities for teachers and students,Not specified
29,Values Education Curriculum Framework,To provide a structured approach to values education,Promulgate the final version of the Values Education Curriculum Framework,Not specified
29,Optimisation of Senior Secondary Chinese History and History Curricula,To improve the quality and relevance of history education,Optimise the curriculum frameworks for the senior secondary Chinese History and History subjects,Not specified
32,Heads of Department Accountability System (HoD Accountability System),Strengthen the sense of responsibility of senior civil servants to enhance overall management standards,Institutionalize the accountability of Heads of Departments to build strong management teams and lead senior civil servants in managing staff and operation systems,Not specified
44,Effective Performance Appraisal System,To enhance the overall effectiveness of departments and manage staff performance and misconduct,"Improve departmental effectiveness, raise morale of good performers, assist those with room for improvement, and handle misconduct fairly",Not specified
45,Rigorous Performance Appraisal System Study,To improve the effectiveness of performance evaluations within the civil service,Develop a more rigorous performance appraisal system that better reflects and differentiates staff performance levels,Not specified
48,AI Efficacy Enhancement Team,To further enhance the efficacy of the Government,Co-ordinate and steer government departments in the use of AI,Not specified
53,Committee on Development of the Northern Metropolis,To speed up the Northern Metropolis development and further develop the economy and improve people's livelihood,Raise the level of decision-making for the Northern Metropolis development,Not specified
55,Committee on Development of the Northern Metropolis,To expedite the development of the Northern Metropolis by bringing in industries and major projects,Oversee and coordinate the development of the Northern Metropolis,Not specified
56,Working Group on Devising Development and Operation Models,"To formulate development and operation models for industry parks in the Northern Metropolis, considering their nature and scale","Develop models including setting up dedicated companies, statutory or non-statutory bodies, and public-private partnership approaches",Recommendations to be announced this year after reporting to the working group
56,Industry Park Company at Hung Shui Kiu,Part of the broader initiative to develop industry parks in the Northern Metropolis,Set up an industry park company for about 23 hectares of industry land at Hung Shui Kiu,"Policy study conducted by the Development Bureau, recommendations to be announced this year"
57,Working Group on Planning and Construction of the University Town,To study the development mode for the Northern Metropolis University Town and integrate industry development with academic sectors,"Explore successful models of university towns, seek views from university leaders, and attract leading universities and research institutes to establish a base in Hong Kong",Not specified
58,Northern Metropolis University Town Development,To develop educational and research facilities in the Northern Metropolis,"Integrate high-end professional services, vocational and professional education, and innovation and technology (I&T) development","2026 (Hung Shui Kiu), 2028 (Ngau Tam Mei), 2030 (New Territories North New Town)"
59,Working Group on Planning and Development,"To manage the end-to-end process from planning to implementation, coordinating various aspects such as planning, engineering, land, transportation, and environmental protection","Promote industry anchoring, create job opportunities, and enhance productivity",Not specified
59,Dedicated Project Supervision Office,To strengthen the coordination and supervision of the approval process under the Working Group on Planning and Development,Accelerate progress by imposing time limits and phased reporting,Not specified
61,Fast Track Processing System,"To reduce construction costs and time by adopting superior construction methods and integrating successful construction technologies, materials, and equipment from the Mainland and overseas",Streamline construction processes and reduce costs and time,Not specified
62,Phased Development Approach,To attract businesses and create momentum before long-term development in Hung Shui Kiu,"Develop low-density facilities such as retail, entertainment, and convention and exhibition facilities initially","Trial basis, no specific end date mentioned"
64,Flexible Land-Grant Arrangements,To encourage enterprises to set up businesses and invest in the area,Provide greater flexibility in land-grant terms and methods,Sites granted as tenancy may have a term exceeding seven years
65,Voluntary Land Surrender Scheme,To promote market participation in the development of the Northern Metropolis,Allow land owners to voluntarily surrender land planned for resumption to offset costs for in-situ land exchange or large-scale land disposal in NDAs,Not specified
